Datum;Typ;Wert;Buchungswährung;Bruttobetrag;Währung Bruttobetrag;Wechselkurs;Gebühren;Steuern;Stück;ISIN;WKN;Ticker-Symbol;Wertpapiername;Notiz
2020-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,98765;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000112002
2020-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,69876;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5000122001
2020-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,87654;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5000122002
2021-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,65432;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001012001
2021-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,76543;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001012002
2021-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,62345;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001022001
2021-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,65432;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001022002
2021-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,58976;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001032001
2021-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,54321;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001032002
2021-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,55678;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001042001
2021-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,43210;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001042002
2021-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,57234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001052001
2021-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,32109;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001052002
2021-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,53456;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001062001
2021-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,20987;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001062002
2021-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,49876;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001072001
2021-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,09876;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001072002
2021-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,46543;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001082001
2021-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,98765;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001082002
2021-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,48234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001092001
2021-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,87654;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001092002
2021-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,44321;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001102001
2021-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,76543;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001102002
2021-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,41987;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001112001
2021-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,65432;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001112002
2021-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,38765;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5001122001
2021-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,54321;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5001122002
2022-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,35432;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002012001
2022-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,43210;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002012002
2022-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,39876;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002022001
2022-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,32109;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002022002
2022-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,42345;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002032001
2022-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,20987;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002032002
2022-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,45678;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002042001
2022-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,09876;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002042002
2022-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,48765;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002052001
2022-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;3,98765;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002052002
2022-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,52345;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002062001
2022-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;3,87654;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002062002
2022-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,55432;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002072001
2022-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;3,76543;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002072002
2022-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,49876;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002082001
2022-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;3,85432;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002082002
2022-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,53456;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002092001
2022-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;3,94321;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002092002
2022-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,56789;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002102001
2022-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,03210;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002102002
2022-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,51234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002112001
2022-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,12109;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002112002
2022-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,54567;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5002122001
2022-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,20987;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5002122002
2023-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,47890;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003012001
2023-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,29876;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003012002
2023-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,44321;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003022001
2023-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,38765;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003022002
2023-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,41234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003032001
2023-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,47654;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003032002
2023-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,38567;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003042001
2023-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,56543;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003042002
2023-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,35890;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003052001
2023-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,65432;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003052002
2023-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,33212;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003062001
2023-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,74321;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003062002
2023-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,30543;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003072001
2023-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,83210;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003072002
2023-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,27876;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003082001
2023-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;4,92109;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003082002
2023-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,29234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003092001
2023-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,00987;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003092002
2023-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,31567;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003102001
2023-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,09876;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003102002
2023-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,25890;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003112001
2023-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,18765;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003112002
2023-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,23212;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5003122001
2023-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,27654;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5003122002
2024-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,20543;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004012001
2024-01-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,36543;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004012002
2024-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,17876;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004022001
2024-02-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,45432;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004022002
2024-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,15234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004032001
2024-03-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,54321;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004032002
2024-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,12567;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004042001
2024-04-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,63210;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004042002
2024-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,09890;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004052001
2024-05-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,72109;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004052002
2024-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,07212;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004062001
2024-06-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,80987;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004062002
2024-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,04543;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004072001
2024-07-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,89876;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004072002
2024-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;1,01876;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004082001
2024-08-15T00:00;Einlieferung;500;EUR;;;;1,5;0;5,98765;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004082002
2024-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;0,99234;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004092001
2024-09-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,07654;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004092002
2024-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;0,96567;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004102001
2024-10-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,16543;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004102002
2024-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;0,93890;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004112001
2024-11-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,25432;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004112002
2024-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;0,91212;IE00B5BMR087;A0YEDG;SXR8.DE;ISHARES CORE S&P 500 ETF;Transaktion-Nr.: 5004122001
2024-12-15T00:00;Einlieferung;500;EUR;;;;1,5;0;6,34321;IE00B3RBWM25;A1JX52;VGWL.DE;VANGUARD FTSE ALL-WLD UCI;Transaktion-Nr.: 5004122002
